"cnes";"tipo_hospital"
"3626245";"2"
"9528792";"1"
"6844138";"1"
"2707918";"1"
"2707632";"1"
"0181927";"1"
"2244152";"1"
"2262029";"1"
"7092571";"1"
"7513151";"1"
"2792974";"1"
"9575936";"1"
"6389104";"1"
"2233355";"1"
"2232022";"1"
"2244314";"1"
"2232162";"1"
"2227932";"1"
"9563873";"1"
"2793008";"1"
"2808617";"1"
"2798484";"1"
"2691515";"1"
"2550938";"1"
"7486596";"1"
"2566893";"1"
"7286082";"2"
"2594277";"1"
"2658372";"1"
"0019305";"1"
"0019445";"2"
"6048692";"1"
"7847777";"1"
"2380242";"1"
"2674327";"1"
"7105088";"1"
"2418967";"1"
"6683134";"1"
"7278977";"1"
"2058790";"1"
"6164366";"1"
"9232141";"2"
"2082098";"1"
"6451098";"1"
"2831503";"2"
"6095666";"1"
"2058332";"1"
"2790556";"1"
"2790580";"2"
"2790602";"1"
"3880966";"1"
"2082381";"1"
"3058808";"1"
"2082497";"1"
"2083272";"1"
"2080915";"1"
"2085976";"1"
"2096196";"1"
"5662281";"1"
"0404853";"2"
"2081490";"1"
"6053858";"1"
"2087219";"1"
"7947984";"1"
"0092894";"1"
"2792168";"1"
"2792141";"1"
"2080028";"1"
"2084163";"1"
"2801051";"2"
"5851084";"1"
"2077078";"1"
"2079011";"1"
"3028399";"1"
"2092107";"1"
"6878687";"1"
"7544529";"1"
"2080338";"1"
"2080427";"2"
"2082861";"1"
"5200105";"1"
"2087715";"1"
"2079615";"1"
"2087804";"1"
"2086271";"2"
"2792176";"1"
"5435072";"2"
"7228163";"2"
"2078104";"1"
"2078562";"1"
"2080184";"1"
"2092298";"1"
"2078538";"1"
"2023474";"1"
"6992560";"2"
"7573162";"1"
"0115509";"1"
"2082349";"1"
"2080680";"1"
"7473702";"1"
"2058308";"1"
"0008028";"1"
"7188676";"1"
"2716291";"1"
"2077434";"1"
"9425802";"1"
"2082322";"1"
"2716097";"1"
"2755130";"1"
"9556095";"1"
"2705249";"1"
"2079119";"2"
"5887623";"1"
"7420595";"1"
"2750546";"1"
"3774554";"1"
"6212581";"2"
"2072513";"1"
"0008923";"1"
"2080273";"1"
"6020917";"2"
"2079720";"1"
"6998704";"1"
"2025361";"1"
"2027356";"1"
"2069776";"1"
"7373465";"1"
"2082594";"1"
"5935857";"1"
"3529282";"1"
"6236596";"1"
"0009628";"1"
"0026417";"1"
"9491252";"1"
"2027240";"1"
"2066092";"1"
"2076896";"1"
"2077426";"1"
"2077477";"1"
"2077485";"1"
"2077574";"1"
"2077620";"1"
"2077671";"1"
